ID,명칭,경도,위도
1,정문1,127.07511248945,37.5490867785746
2,정문2,127.074740981564,37.5492335131819
3,정문3(교차로),127.074458301716,37.5493442613594
4,집현관1(교차로),127.074152996377,37.5492845718249
5,집현관2,127.074110976112,37.549096778983
6,집현관3,127.07409595286,37.5489424613501
7,집현관4,127.074085013331,37.54876668004
8,집현관5,127.074083008795,37.5486315765014
9,모짜르트홀1,127.074078232093,37.5484821609669
10,집현관6(측면/주차장),127.073730636656,37.5487799074193
11,집현관7(측면/주차장),127.07353649684,37.5487423655337
12,집현관8(주차장),127.073531645486,37.5485306309645
13,모짜르트홀2(주차장),127.073764063096,37.5485290670686
14,대양홀1,127.074744060072,37.5490042452038
15,대양홀2,127.074522518022,37.549012969166
16,대양홀3,127.074314048057,37.5490405611851
17,대양홀4,127.074416896874,37.549203712425
18,중앙도로1,127.074417312777,37.5495266747807
19,중앙도로2,127.074390464984,37.5497264111565
20,중앙도로3,127.074221552282,37.5499061041215
21,중앙도로4(교차로),127.074066233979,37.5500751708127
22,광개토관1(교차로),127.073811606659,37.5502022994555
23,광개토관2,127.073552223999,37.5504237251619
24,광개토관3(입구),127.073401906353,37.5502862154514
25,광개토관4,127.073602550206,37.5500821102211
26,광개토관5(군자계단),127.073728845596,37.5499722676615
27,광개토관6(뒷쪽교차로),127.073443617453,37.5497912391942
28,군자1(뒷쪽),127.073455132789,37.5495365475925
29,군자2(쪽문),127.073480733036,37.5493265905267
30,군자3(쪽문골목),127.073770727323,37.5493190078736
31,광개토관6(뒷쪽),127.073267810349,37.5499488737915
32,광개토관7(뒷쪽),127.073028909984,37.5501654902799
33,이당관1(교차로),127.072868676399,37.5503234065119
34,이당관2(입구),127.073066484075,37.550481263192
35,이당관3,127.073269207115,37.5506336756655
36,진관홀1(측면),127.073469243117,37.5507912203043
37,진관홀2,127.073593278094,37.5508971478559
38,진관홀3(용덕),127.073375030689,37.5510769985814
39,용덕관1,127.073555917234,37.5512162989244
40,진관홀3(주차장),127.073768577577,37.5510180374225
41,중앙도로5(주차장입구),127.074229446537,37.5502415292607
42,중앙도로6,127.07445713005,37.5504470288569
43,중앙도로7(교차로),127.074671293897,37.5506521305963
44,중앙도로8,127.074353822766,37.5509468275363
45,중앙도로9(진관홀),127.074014824468,37.5511951321547
46,중앙도로10(용덕관),127.073725324624,37.5513585595071
47,중앙도로11(실험센터),127.073484761971,37.551595756327
48,중앙도로12(실험센터),127.073247962156,37.5517948784803
49,중앙도로13(영실관),127.073019681514,37.551998082992
50,중앙도로14(영실관교차로),127.072841172597,37.5521572716472
51,중앙도로15,127.072681919957,37.5523589452301
52,중앙도로16(세종초주차장),127.072612646719,37.5526251233456
53,중앙도로17(세종초정문),127.072555816516,37.5528795761788
54,영실관골목1,127.073080147614,37.5523450378533
55,영실관골목2,127.073371965129,37.552587048826
56,영실관골목3,127.073593933641,37.5527733535911
57,영실관1,127.073356206168,37.5521028993563
58,영실관2,127.073614565237,37.5523035671312
59,충무관입구1,127.073829571367,37.5521746745991
60,동천관1,127.074418807209,37.5513353646763
61,동천관2,127.074727332705,37.5515907855825
62,박물관입구1,127.074990233881,37.5514296430651
63,박물관입구2,127.075215550406,37.5512637747439
64,AI센터1,127.074875491356,37.5507938654937
65,AI센터2,127.075063969581,37.5510650450527
66,박물관측면1,127.075046099429,37.5517917726544
67,박물관후문1,127.075331935424,37.5516382044883
68,박물관후문2,127.075539168485,37.5514853122417
69,애지헌1,127.073808873796,37.5506018836846
70,애지헌2,127.073966164629,37.5504805708102
71,운동장1,127.074695990935,37.5502405987089
72,운동장2,127.07493734358,37.5500963175942
73,운동장3,127.075169441262,37.5502925611796
74,운동장4,127.074902189846,37.5504552109559